"","Gene","Category1","Category2","Subcategory","M0_w","SequenceLength","Category","M87_padj","M21_padj","PosSelM87","PosSelM21","GeneStableID","logPPI_medconf","logSeqL"
"1","1700009N14Rik","Control",NA,NA,"0.0785",648,"Control",1,1,0,0,"ENSMUSG00000028287",1.83250891270624,2.81157500587059
"2","1700034E13Rik","Control",NA,NA,"0.19878",324,"Control",0.374121149345911,1,0,0,"ENSMUSG00000024532",0.602059991327962,2.51054501020661
"3","1700067P10Rik","Control",NA,NA,"0.43291",558,"Control",0.0596270456200987,1,0,0,"ENSMUSG00000021545",0,2.74663419893758
"4","1700088E04Rik","Control",NA,NA,"0.2618",648,"Control",0.0966141602307658,1,0,0,"ENSMUSG00000033029",0.903089986991944,2.81157500587059
"5","1810037I17Rik","Control",NA,NA,"0.36989",198,"Control",0.00175420156998564,0.104712535056712,1,0,"ENSMUSG00000054091",0.845098040014257,2.29666519026153
"6","2210408I21Rik","Control",NA,NA,"0.47166",3819,"Control",0.000779559533950336,1,1,0,"ENSMUSG00000071252",0.903089986991944,3.58194965837332
"7","2310061I04Rik","Control",NA,NA,"0.27268",942,"Control",0.619078724885358,1,0,0,"ENSMUSG00000050705",0.698970004336019,2.97405090279288
"9","4921504E06Rik","Control",NA,NA,"0.62845",1503,"Control",0,0,1,1,"ENSMUSG00000026734",1.04139268515823,3.17695898058691
"10","6030458C11Rik","Control",NA,NA,"0.29568",1320,"Control",0.00482475013499304,1,1,0,"ENSMUSG00000022195",1.07918124604762,3.12057393120585
"11","A2m","extracellProteaseInhib","extracellProteaseInhib",NA,"0.42308",4407,"Immune",1.49541443919235e-09,6.04605668423897e-05,1,1,"ENSMUSG00000030111",2.17609125905568,3.64414305050992
"12","A730046J19Rik","Control",NA,NA,"0.08622",267,"Control",1,1,0,0,"ENSMUSG00000085139",0.301029995663981,2.42651126136458
"13","Aars","Control",NA,NA,"0.05469",2907,"Control",0.000178544033955811,1,1,0,"ENSMUSG00000031960",2.21748394421391,3.46344503177043
"14","Aars2","Control",NA,NA,"0.16933",2940,"Control",0.000634821126883529,1,1,0,"ENSMUSG00000023938",2.09691001300806,3.46834733041216
"15","Abca12","Control",NA,NA,"0.11387",7788,"Control",1.39378831280161e-07,0.080154853616528,1,0,"ENSMUSG00000050296",1.50514997831991,3.89142594284799
"16","Abca9","Control",NA,NA,"0.2644",4875,"Control",0.00265131850607448,1,1,0,"ENSMUSG00000041797",0.477121254719662,3.68797462003456
"17","Abcb1b","Control",NA,NA,"0.20117",3804,"Control",0.00213037972806944,1,1,0,"ENSMUSG00000028970",2.01703333929878,3.58024050826538
"18","Abl1","intracellSignaling","Kinase","Kinase","0.09011",3432,"Immune",0.0451754460945394,1,1,0,"ENSMUSG00000026842",2.42488163663107,3.53554727917667
"19","Abl2","intracellSignaling","Kinase","Kinase","0.06741",3543,"Immune",0.799059858741441,1,0,0,"ENSMUSG00000026596",1.70757017609794,3.54937115233318
"20","Abracl","Control",NA,NA,"0.0807",243,"Control",0.275721317652792,1,0,0,"ENSMUSG00000078453",1.14612803567824,2.38560627359831
